input,c,acc
Raw,0.01,8.059467918622849
Raw,0.1,8.059467918622849
Raw,1.0,4.225352112676056
PCA200,0.01,3.9906103286384975
PCA200,0.1,3.9906103286384975
PCA200,1.0,3.9906103286384975
PCA80,0.01,3.9906103286384975
PCA80,0.1,3.9906103286384975
PCA80,1.0,3.9906103286384975
